timestamp,symbol,side,price,qty,value_usd,fee,pnl,cumulative_pnl
2026-02-15 20:55:29,XRP/USD,sell,1.46014,247.26332691,361.0390741543674,1.4441563,359.5949178543674,359.5949178543674
2026-02-15 20:55:29,XRP/USD,sell,1.46014,247.26332691,361.0390741543674,1.4441563,359.5949178543674,719.1898357087348
2026-02-15 20:55:29,XRP/USD,sell,1.46014,247.26332691,361.0390741543674,1.4441563,359.5949178543674,1078.7847535631022
2026-02-15 21:35:18,RAIN/USD,buy,0.010192,9643.45588659,98.28610239612528,0.22606,0,1078.7847535631022
2026-02-15 21:35:18,OMG/USD,buy,0.067606,568,38.400208,0.096001,0,1078.7847535631022
2026-02-15 21:35:18,OMG/USD,buy,0.067606,667,45.093202,0.112733,0,1078.7847535631022
2026-02-15 21:35:18,OMG/USD,buy,0.068148,247.72257519,16.88179805404812,0.042204,0,1078.7847535631022
2026-02-15 21:35:18,,sell,0,0,0,0,0,1078.7847535631022
2026-02-15 21:35:18,FXS/USD,buy,0.646,26.74,17.27404,0.04319,0,1078.7847535631022
2026-02-15 21:35:19,FXS/USD,buy,0.646,70,45.220,0.11305,0,1078.7847535631022
2026-02-15 21:35:19,FXS/USD,buy,0.646,60.36919089,38.99849731494,0.0975,0,1078.7847535631022
2026-02-15 21:35:19,,sell,0,0,0,0,0,1078.7847535631022
2026-02-15 21:35:40,RAIN/USD,buy,0.010192,19.31346311,0.19684281601712,0.00045,0,1078.7847535631022
2026-02-15 21:35:40,,sell,0,0,0,0,0,1078.7847535631022
2026-02-15 21:36:18,KEEP/USD,buy,0.03527,2862.45885215,100.9589237153305,0.232206,0,1078.7847535631022
2026-02-15 21:36:18,,sell,0,0,0,0,0,1078.7847535631022
2026-02-15 21:36:45,SUP/USD,buy,0.006916,14486.45516442,100.18832391712872,0.23043,0,1078.7847535631022
2026-02-15 21:36:45,,sell,0,0,0,0,0,1078.7847535631022
2026-02-15 21:36:45,SUP/USD,buy,0.006916,14486.45516442,100.18832391712872,0.23043,0,1078.7847535631022
2026-02-15 21:45:28,FXS/USD,buy,0.645,70,45.150,0.11288,0,1078.7847535631022
2026-02-15 21:45:28,FXS/USD,buy,0.645,70,45.150,0.11288,0,1078.7847535631022
2026-02-15 21:45:28,FXS/USD,buy,0.645,17.2327044,11.1150943380,0.02779,0,1078.7847535631022
2026-02-15 21:45:28,,sell,0,0,0,0,0,1078.7847535631022
2026-02-15 21:47:56,CAMP/USD,buy,0.00442,1500,6.63000,0.01525,0,1078.7847535631022
2026-02-15 21:48:21,OMG/USD,buy,0.067022,401.82,26.93078004,0.067327,0,1078.7847535631022
2026-02-15 21:49:12,OMG/USD,buy,0.067022,54,3.619188,0.009048,0,1078.7847535631022
2026-02-15 21:49:32,RAIN/USD,sell,0.009959,486.1,4.8410699,0.01113,-0.1243913,1078.6603622631022
2026-02-15 21:52:13,RAIN/USD,buy,0.010058,996.92338921,10.02705544867418,0.02306,0,1078.6603622631022
2026-02-15 21:52:13,RAIN/USD,buy,0.010058,651.05685322,6.54832982968676,0.01506,0,1078.6603622631022
2026-02-15 21:52:13,RAIN/USD,buy,0.010058,1342.05424631,13.49838160938598,0.03105,0,1078.6603622631022
2026-02-15 21:52:13,RAIN/USD,buy,0.010058,877.29598815,8.82384304881270,0.02029,0,1078.6603622631022
2026-02-15 21:52:13,RAIN/USD,buy,0.010058,651.1714291,6.5494822338878,0.01506,0,1078.6603622631022
